QB_Rank_0,Player,QB_CMP_2,QB_ATT_3,QB_PCT_4,QB_YDS_5,QB_Y/A_6,QB_TD_7,QB_INT_8,QB_SACKS_9,QB_ATT_10,QB_YDS_11,QB_TD_12,QB_FL_13,QB_G_14,QB_FPTS_15,QB_FPTS/G_16,QB_ROST_17,Position,RB_Rank_0,RB_ATT_2,RB_YDS_3,RB_Y/A_4,RB_LG_5,RB_20+_6,RB_TD_7,RB_REC_8,RB_TGT_9,RB_YDS_10,RB_Y/R_11,RB_TD_12,RB_FL_13,RB_G_14,RB_FPTS_15,RB_FPTS/G_16,RB_ROST_17,WR_Rank_0,WR_REC_2,WR_TGT_3,WR_YDS_4,WR_Y/R_5,WR_LG_6,WR_20+_7,WR_TD_8,WR_ATT_9,WR_YDS_10,WR_TD_11,WR_FL_12,WR_G_13,WR_FPTS_14,WR_FPTS/G_15,WR_ROST_16,TE_Rank_0,TE_REC_2,TE_TGT_3,TE_YDS_4,TE_Y/R_5,TE_LG_6,TE_20+_7,TE_TD_8,TE_ATT_9,TE_YDS_10,TE_TD_11,TE_FL_12,TE_G_13,TE_FPTS_14,TE_FPTS/G_15,TE_ROST_16,DST_Rank_0,DST_SACK_2,DST_INT_3,DST_FR_4,DST_FF_5,DST_DEF TD_6,DST_SFTY_7,DST_SPC TD_8,DST_G_9,DST_FPTS_10,DST_FPTS/G_11,DST_ROST_12
108,Kyler Murray (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.5%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Easton Stick (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Gardner Minshew II (LV),0,2,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,16.6%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Jarrett Stidham (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Brett Rypien (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Kyle Allen (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Tim Boyle (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Will Grier (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,John Wolford (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Drew Lock (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Marcus Mariota (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Jameis Winston (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Brett Smith (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Taylor Heinicke (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Jeff Driskel (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Jacoby Brissett (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Brandon Allen (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Carson Wentz (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Nate Sudfeld (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Jake Browning (CIN),0,1,0.0,0,0.0,0,0,0,1,-1,0,0,1,-0.1,-0.1,20.7%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Sam Darnold (MIN),0,0,0,0,0,0,0,0,2,-2,0,0,1,-0.2,-0.2,1.2%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aaron Jones (MIN),,,,,,,,,,,,,,,,,RB,1,9,41,4.6,9,0,1,2,4,86,43.0,1,0,1,24.7,24.7,93.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Christian McCaffrey (SF),,,,,,,,,,,,,,,,,RB,2,22,152,6.9,65,1,1,3,5,17,5.7,0,0,1,22.9,22.9,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Austin Ekeler (WAS),,,,,,,,,,,,,,,,,RB,3,16,117,7.3,55,1,1,4,5,47,11.8,0,0,1,22.4,22.4,92.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tyler Allgeier (ATL),,,,,,,,,,,,,,,,,RB,4,15,75,5.0,22,1,2,3,3,19,6.3,0,0,1,21.4,21.4,51.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tony Pollard (TEN),,,,,,,,,,,,,,,,,RB,5,14,70,5.0,25,1,2,2,3,12,6.0,0,0,1,20.2,20.2,92.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kyren Williams (LAR),,,,,,,,,,,,,,,,,RB,6,15,52,3.5,9,0,2,0,2,2,0,0,0,1,17.4,17.4,96.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Travis Etienne Jr. (JAC),,,,,,,,,,,,,,,,,RB,7,18,77,4.3,26,1,1,5,5,27,5.4,0,0,1,16.4,16.4,99.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Joshua Kelley (FA),,,,,,,,,,,,,,,,,RB,8,16,91,5.7,14,0,1,0,1,0,0,0,0,1,15.1,15.1,6.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Breece Hall (NYJ),,,,,,,,,,,,,,,,,RB,9,10,127,12.7,83,2,0,1,2,20,20.0,0,0,1,14.7,14.7,98.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bijan Robinson (ATL),,,,,,,,,,,,,,,,,RB,10,10,56,5.6,21,1,0,6,6,27,4.5,1,0,1,14.3,14.3,99.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,David Montgomery (DET),,,,,,,,,,,,,,,,,RB,11,21,74,3.5,8,0,1,0,0,0,0,0,0,1,13.4,13.4,93.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Justice Hill (BAL),,,,,,,,,,,,,,,,,RB,12,8,9,1.1,4,0,2,0,0,0,0,0,0,1,12.9,12.9,10.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nick Chubb (CLE),,,,,,,,,,,,,,,,,RB,13,18,106,5.9,17,0,0,4,4,21,5.3,0,0,1,12.7,12.7,54.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brian Robinson Jr. (WAS),,,,,,,,,,,,,,,,,RB,14,19,59,3.1,7,0,0,1,2,7,7.0,1,0,1,12.6,12.6,85.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Derrick Henry (BAL),,,,,,,,,,,,,,,,,RB,15,15,63,4.2,18,0,0,2,3,56,28.0,0,0,1,11.9,11.9,99.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roschon Johnson (CHI),,,,,,,,,,,,,,,,,RB,16,5,20,4.0,11,0,1,6,7,35,5.8,0,0,1,11.5,11.5,13.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Raheem Mostert (MIA),,,,,,,,,,,,,,,,,RB,17,10,37,3.7,12,0,1,2,2,13,6.5,0,0,1,11.0,11.0,90.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alexander Mattison (LV),,,,,,,,,,,,,,,,,RB,18,11,34,3.1,9,0,0,3,4,10,3.3,1,0,1,10.4,10.4,41.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,J.K. Dobbins (LAC),,,,,,,,,,,,,,,,,RB,19,8,22,2.8,4,0,1,2,3,15,7.5,0,0,1,9.7,9.7,45.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhamondre Stevenson (NE),,,,,,,,,,,,,,,,,RB,20,12,25,2.1,5,0,0,6,6,64,10.7,0,0,1,8.9,8.9,85.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cam Akers (HOU),,,,,,,,,,,,,,,,,RB,21,22,29,1.3,12,0,1,0,0,0,0,0,0,1,8.9,8.9,9.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Khalil Herbert (CHI),,,,,,,,,,,,,,,,,RB,22,9,27,3.0,12,0,0,3,5,37,12.3,0,0,1,8.4,8.4,29.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Samaje Perine (DEN),,,,,,,,,,,,,,,,,RB,23,8,41,5.1,12,0,0,4,4,37,9.3,0,0,1,7.8,7.8,12.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Miles Sanders (CAR),,,,,,,,,,,,,,,,,RB,24,18,72,4.0,10,0,0,4,6,26,6.5,0,1,1,7.8,7.8,22.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kenneth Gainwell (PHI),,,,,,,,,,,,,,,,,RB,25,14,54,3.9,16,0,0,4,4,20,5.0,0,0,1,7.4,7.4,14.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Joe Mixon (HOU),,,,,,,,,,,,,,,,,RB,26,13,56,4.3,22,1,0,3,5,17,5.7,0,0,1,7.3,7.3,98.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Josh Jacobs (GB),,,,,,,,,,,,,,,,,RB,27,19,48,2.5,7,0,0,2,3,23,11.5,0,0,1,7.1,7.1,97.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,James Conner (ARI),,,,,,,,,,,,,,,,,RB,28,14,62,4.4,12,0,0,5,5,8,1.6,0,0,1,7.0,7.0,91.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chuba Hubbard (CAR),,,,,,,,,,,,,,,,,RB,29,9,60,6.7,21,1,0,2,2,9,4.5,0,0,1,6.9,6.9,49.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kenneth Walker III (SEA),,,,,,,,,,,,,,,,,RB,30,12,64,5.3,15,0,0,4,5,3,0.8,0,0,1,6.7,6.7,97.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Saquon Barkley (PHI),,,,,,,,,,,,,,,,,RB,31,12,51,4.3,18,0,0,3,4,12,4.0,0,0,1,6.3,6.3,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,James Cook (BUF),,,,,,,,,,,,,,,,,RB,32,12,46,3.8,13,0,0,4,6,17,4.3,0,0,1,6.3,6.3,97.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jahmyr Gibbs (DET),,,,,,,,,,,,,,,,,RB,33,7,42,6.0,18,0,0,2,2,18,9.0,0,0,1,6.0,6.0,99.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dalvin Cook (FA),,,,,,,,,,,,,,,,,RB,34,13,33,2.5,10,0,0,3,3,26,8.7,0,0,1,5.9,5.9,9.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Javonte Williams (DEN),,,,,,,,,,,,,,,,,RB,35,13,52,4.0,11,0,0,4,6,5,1.3,0,0,1,5.7,5.7,88.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Isiah Pacheco (KC),,,,,,,,,,,,,,,,,RB,36,8,23,2.9,7,0,0,4,4,31,7.8,0,0,1,5.4,5.4,97.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tank Bigsby (JAC),,,,,,,,,,,,,,,,,RB,37,7,13,1.9,4,0,1,0,1,0,0,0,1,1,5.3,5.3,3.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jamaal Williams (NO),,,,,,,,,,,,,,,,,RB,38,18,45,2.5,11,0,0,2,2,7,3.5,0,0,1,5.2,5.2,10.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gus Edwards (LAC),,,,,,,,,,,,,,,,,RB,39,8,32,4.0,13,0,0,0,0,0,0,0,0,1,5.2,5.2,79.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rachaad White (TB),,,,,,,,,,,,,,,,,RB,40,17,39,2.3,6,0,0,2,2,10,5.0,0,0,1,4.9,4.9,97.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dameon Pierce (HOU),,,,,,,,,,,,,,,,,RB,41,11,38,3.5,7,0,0,2,3,9,4.5,0,0,1,4.7,4.7,27.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AJ Dillon (GB),,,,,,,,,,,,,,,,,RB,42,13,19,1.5,7,0,0,2,3,17,8.5,0,0,1,3.6,3.6,34.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alec Ingold (MIA),,,,,,,,,,,,,,,,,RB,43,0,0,0,0,0,0,2,2,34,17.0,0,0,1,3.4,3.4,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Najee Harris (PIT),,,,,,,,,,,,,,,,,RB,44,6,31,5.2,24,1,0,2,2,2,1.0,0,0,1,3.3,3.3,90.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clyde Edwards-Helaire (KC),,,,,,,,,,,,,,,,,RB,45,6,22,3.7,5,0,0,1,1,7,7.0,0,0,1,2.9,2.9,24.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tyjae Spears (TEN),,,,,,,,,,,,,,,,,RB,46,3,27,9.0,17,0,0,1,4,1,1.0,0,0,1,2.8,2.8,63.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D'Onta Foreman (CLE),,,,,,,,,,,,,,,,,RB,47,5,16,3.2,11,0,0,2,3,8,4.0,0,0,1,2.4,2.4,19.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sean Tucker (TB),,,,,,,,,,,,,,,,,RB,48,5,15,3.0,5,0,0,2,2,9,4.5,0,0,1,2.4,2.4,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rico Dowdle (DAL),,,,,,,,,,,,,,,,,RB,49,6,24,4.0,10,0,0,0,0,0,0,0,0,1,2.4,2.4,12.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ezekiel Elliott (DAL),,,,,,,,,,,,,,,,,RB,50,7,29,4.1,11,0,0,5,7,14,2.8,0,1,1,2.3,2.3,81.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Patrick Taylor Jr. (SF),,,,,,,,,,,,,,,,,RB,51,5,22,4.4,10,0,0,0,0,0,0,0,0,1,2.2,2.2,2.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jake Funk (DET),,,,,,,,,,,,,,,,,RB,52,2,10,5.0,7,0,0,1,1,12,12.0,0,0,1,2.2,2.2,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Damien Harris (FA),,,,,,,,,,,,,,,,,RB,53,1,3,3.0,3,0,0,2,2,16,8.0,0,0,1,1.9,1.9,4.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Michael Carter (ARI),,,,,,,,,,,,,,,,,RB,54,1,6,6.0,6,0,0,2,2,12,6.0,0,0,1,1.8,1.8,1.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ty Chandler (MIN),,,,,,,,,,,,,,,,,RB,55,3,0,0.0,2,0,0,1,1,18,18.0,0,0,1,1.8,1.8,56.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jaylen Warren (PIT),,,,,,,,,,,,,,,,,RB,56,3,6,2.0,3,0,0,5,6,12,2.4,0,0,1,1.8,1.8,84.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DeeJay Dallas (ARI),,,,,,,,,,,,,,,,,RB,57,2,4,2.0,5,0,0,1,1,14,14.0,0,0,1,1.8,1.8,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mike Boone (CAR),,,,,,,,,,,,,,,,,RB,58,0,0,0,0,0,0,3,4,18,6.0,0,0,1,1.8,1.8,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Latavius Murray (FA),,,,,,,,,,,,,,,,,RB,59,2,8,4.0,6,0,0,1,2,9,9.0,0,0,1,1.7,1.7,7.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ty Montgomery II (FA),,,,,,,,,,,,,,,,,RB,60,1,7,7.0,7,0,0,2,3,9,4.5,0,0,1,1.6,1.6,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jerome Ford (CLE),,,,,,,,,,,,,,,,,RB,61,15,36,2.4,17,0,0,0,0,0,0,0,1,1,1.6,1.6,81.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Devin Singletary (NYG),,,,,,,,,,,,,,,,,RB,62,7,15,2.1,4,0,0,0,0,0,0,0,0,1,1.5,1.5,83.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zach Charbonnet (SEA),,,,,,,,,,,,,,,,,RB,63,3,11,3.7,9,0,0,0,0,0,0,0,0,1,1.1,1.1,63.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anthony McFarland Jr. (FA),,,,,,,,,,,,,,,,,RB,64,0,0,0,0,0,0,2,2,11,5.5,0,0,1,1.1,1.1,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Salvon Ahmed (MIA),,,,,,,,,,,,,,,,,RB,65,3,11,3.7,8,0,0,0,3,0,0,0,0,1,1.1,1.1,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chris Evans (CIN),,,,,,,,,,,,,,,,,RB,66,2,12,6.0,7,0,0,1,1,-1,-1.0,0,0,1,1.1,1.1,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gary Brightwell (JAC),,,,,,,,,,,,,,,,,RB,67,1,5,5.0,5,0,0,2,2,6,3.0,0,0,1,1.1,1.1,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Boston Scott (LAR),,,,,,,,,,,,,,,,,RB,68,1,3,3.0,3,0,0,1,1,7,7.0,0,0,1,1.0,1.0,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elijah Mitchell (SF),,,,,,,,,,,,,,,,,RB,69,5,10,2.0,4,0,0,0,1,0,0,0,0,1,1.0,1.0,9.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jerick McKinnon (FA),,,,,,,,,,,,,,,,,RB,70,0,0,0,0,0,0,1,2,10,10.0,0,0,1,1.0,1.0,16.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deuce Vaughn (DAL),,,,,,,,,,,,,,,,,RB,71,6,8,1.3,5,0,0,0,0,0,0,0,0,1,0.8,0.8,1.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chase Edmonds (TB),,,,,,,,,,,,,,,,,RB,72,2,8,4.0,5,0,0,0,0,0,0,0,0,1,0.8,0.8,0.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Evan Hull (IND),,,,,,,,,,,,,,,,,RB,73,1,1,1.0,1,0,0,1,1,6,6.0,0,0,1,0.7,0.7,0.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C.J. Ham (MIN),,,,,,,,,,,,,,,,,RB,74,0,0,0,0,0,0,2,3,7,3.5,0,0,1,0.7,0.7,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trayveon Williams (CIN),,,,,,,,,,,,,,,,,RB,75,2,7,3.5,5,0,0,0,0,0,0,0,0,1,0.7,0.7,0.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chris Rodriguez Jr. (WAS),,,,,,,,,,,,,,,,,RB,76,3,7,2.3,3,0,0,0,0,0,0,0,0,1,0.7,0.7,1.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zamir White (LV),,,,,,,,,,,,,,,,,RB,77,1,2,2.0,2,0,0,1,1,5,5.0,0,0,1,0.7,0.7,74.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Matt Breida (FA),,,,,,,,,,,,,,,,,RB,78,2,9,4.5,6,0,0,1,1,-3,-3.0,0,0,1,0.6,0.6,2.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tony Jones Jr. (ARI),,,,,,,,,,,,,,,,,RB,79,1,5,5.0,5,0,0,0,0,0,0,0,0,1,0.5,0.5,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Michael Burton (DEN),,,,,,,,,,,,,,,,,RB,80,0,0,0,0,0,0,1,1,3,3.0,0,0,1,0.3,0.3,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D'Andre Swift (CHI),,,,,,,,,,,,,,,,,RB,81,1,3,3.0,3,0,0,1,2,0,0.0,0,0,1,0.3,0.3,93.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trey Sermon (IND),,,,,,,,,,,,,,,,,RB,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Darrynton Evans (BUF),,,,,,,,,,,,,,,,,RB,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,La'Mical Perine (PIT),,,,,,,,,,,,,,,,,RB,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zack Moss (CIN),,,,,,,,,,,,,,,,,RB,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jonathan Taylor (IND),,,,,,,,,,,,,,,,,RB,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,J.J. Taylor (HOU),,,,,,,,,,,,,,,,,RB,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,James Robinson (NO),,,,,,,,,,,,,,,,,RB,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JaMycal Hasty (NE),,,,,,,,,,,,,,,,,RB,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
